,precision,recall,f1-score,support
Apartment,1.0,1.0,1.0,2.0
Car,1.0,1.0,1.0,4.0
Clothes,1.0,1.0,1.0,12.0
Dante,0.96875,0.9393939393939394,0.9538461538461539,66.0
Entertainment,1.0,0.7,0.8235294117647058,20.0
Family,0.8,0.5,0.6153846153846154,8.0
Financial,1.0,1.0,1.0,4.0
Food & Drink,0.9563567362428842,0.9692307692307692,0.9627507163323782,520.0
Gift,0.3333333333333333,0.5,0.4,2.0
Groceries,0.9829059829059829,0.9583333333333334,0.9704641350210971,120.0
Home,0.8705882352941177,0.9487179487179487,0.9079754601226994,156.0
Medical,1.0,0.5,0.6666666666666666,8.0
Merchandise & Supplies-Department Stores,1.0,1.0,1.0,2.0
Merchandise & Supplies-General Retail,1.0,1.0,1.0,8.0
Merchandise & Supplies-Hardware Supplies,1.0,1.0,1.0,4.0
Merchandise & Supplies-Internet Purchase,0.0,0.0,0.0,4.0
Merchandise & Supplies-Wholesale Stores,1.0,0.6666666666666666,0.8,6.0
Misc,0.9318181818181818,0.9761904761904762,0.9534883720930233,84.0
Other-Charities,1.0,1.0,1.0,2.0
Other-Government Services,1.0,1.0,1.0,2.0
Personal,1.0,0.8333333333333334,0.9090909090909091,12.0
Phone,0.5,1.0,0.6666666666666666,12.0
Subscriptions,0.6666666666666666,1.0,0.8,8.0
Transportation,1.0,0.6666666666666666,0.8,6.0
Transportation-Auto Services,1.0,1.0,1.0,2.0
Transportation-Boat Services,1.0,1.0,1.0,2.0
Transportation-Fuel,1.0,0.8571428571428571,0.9230769230769231,28.0
Transportation-Other Transportation,1.0,0.6,0.75,10.0
Transportation-Parking Charges,0.875,1.0,0.9333333333333333,14.0
Transportation-Rail Services,1.0,0.9090909090909091,0.9523809523809523,22.0
Transportation-Taxis & Coach,1.0,0.9423076923076923,0.9702970297029703,104.0
Travel,1.0,1.0,1.0,2.0
Travel-Airline,1.0,1.0,1.0,16.0
Travel-Lodging,1.0,1.0,1.0,14.0
accuracy,0.9409020217729394,0.9409020217729394,0.9409020217729394,0.9409020217729394
macro avg,0.9083946804782697,0.8666786644727822,0.8752632748671498,1286.0
weighted avg,0.9455102743185283,0.9409020217729394,0.9397272875888609,1286.0
