,precision,recall,f1-score,support
Clothes,1.0,0.14285714285714285,0.25,14.0
Dante,0.9310344827586207,0.7105263157894737,0.8059701492537313,38.0
Entertainment,0.5833333333333334,0.3181818181818182,0.4117647058823529,22.0
Financial,1.0,1.0,1.0,2.0
Food & Drink,0.7035928143712575,0.8703703703703703,0.7781456953642384,270.0
Groceries,0.8431372549019608,0.7049180327868853,0.7678571428571429,61.0
Home,0.6722689075630253,0.8791208791208791,0.7619047619047619,91.0
Medical,1.0,0.5384615384615384,0.7,13.0
Misc,0.72,0.6585365853658537,0.6878980891719745,82.0
Personal,1.0,0.6666666666666666,0.8,6.0
Subscriptions,0.6538461538461539,0.7083333333333334,0.68,24.0
Transportation,0.9305555555555556,0.7928994082840237,0.8562300319488818,169.0
Travel-Airline,1.0,0.9565217391304348,0.9777777777777777,23.0
Travel-Lodging,1.0,0.5555555555555556,0.7142857142857143,27.0
accuracy,0.7707838479809976,0.7707838479809976,0.7707838479809976,0.7707838479809976
macro avg,0.8598406073092789,0.678782098993141,0.7279881477461838,842.0
weighted avg,0.7930958946280903,0.7707838479809976,0.7655139761081748,842.0
